пригорок_NOUN,hillock
иголка_NOUN,needle
тридцать_NUM,thirty
родовой_ADJ,generic
артистический_ADJ,artistic
мина_NOUN,mine
императрица_NOUN,empress
строфа_NOUN,stanza
кофе_NOUN,coffee
несчастливый_ADJ,unhappy
гряда_NOUN,ridge
абонент_NOUN,subscriber
гавриил_NOUN,Gabriel
засуетиться_VERB,bustle
приятно_ADV,nice
плакат_NOUN,poster
тварь_NOUN,creature
факт_NOUN,fact
пример_NOUN,example
классик_NOUN,classic
бурлить_VERB,seethe
оформление_NOUN,registration
абажур_NOUN,shade
красить_VERB,paint
чутье_NOUN,flair
василек_NOUN,cornflower
кружить_VERB,circling
гимназия_NOUN,gymnasium
борт_NOUN,board
красный_ADJ,Red
сплошь_ADV,overwhelmingly
колебаться_VERB,hesitate
повествование_NOUN,narration
поляк_NOUN,Pole
взрывать_VERB,explode
кп_NOUN,kp
стратегия_NOUN,strategy
президентский_ADJ,presidential
вулкан_NOUN,volcano
сон_NOUN,dream
страховой_ADJ,insurance
пересечение_NOUN,crossing
дядя_NOUN,uncle
сражаться_VERB,fight
одинокий_ADJ,lonely
кончать_VERB,finish
камень_NOUN,stone
разбегаться_VERB,scatter
коттедж_NOUN,cottage
восторг_NOUN,delight
антенна_NOUN,antenna
легкость_NOUN,ease
враждебно_ADV,hostile
крушение_NOUN,crash
киевский_ADJ,Kiev
засаживать_VERB,plant
вытеснять_VERB,displace
денщик_NOUN,batman
научно_ADV,scientifically
утирать_VERB,wipe
разбойник_NOUN,robber
отправлять_VERB,send
пополнение_NOUN,replenishment
несчастный_NOUN,unhappy
замешать_VERB,knead
самоделкин_NOUN,homemade
оон_NOUN,UN
ученый_NOUN,scientist
простодушный_ADJ,ingenuous
означенный_ADJ,designated
судья_NOUN,judge
отдел_NOUN,Department
руководимый_ADJ,guided
размахивать_VERB,swing
ишь_PART,see
заливаться_VERB,flood
испуганно_ADV,scared
страж_NOUN,guard
премьера_NOUN,premiere
моральный_ADJ,moral
карта_NOUN,map
глубоко_ADV,deep
осуждение_NOUN,condemnation
точно_ADV,exactly
спрашиваться_VERB,ask
земля_NOUN,Earth
рюрик_NOUN,Rurik
овладевать_VERB,master
благодарный_ADJ,grateful
идеолог_NOUN,ideologist
издеваться_VERB,scoff
кроме_ADP,except
пир_NOUN,feast
вологда_NOUN,Vologda
тяжелый_ADJ,heavy
тварь_NOUN,creature
характеристика_NOUN,characteristic
прелестный_ADJ,charming
мундир_NOUN,uniform
разогревать_VERB,heat
чуковский_NOUN,Chukovsky
дивиться_VERB,wonder
отложение_NOUN,deposition
возвышенность_NOUN,elevation
снаряд_NOUN,projectile
душевный_ADJ,soulful
размножаться_VERB,multiply
палач_NOUN,executioner
вышка_NOUN,tower
англичанка_NOUN,Englishwoman
зарастать_VERB,overgrow
чиновничий_ADJ,bureaucratic
церковь_NOUN,church
деньги_NOUN,money
потребление_NOUN,consumption
заготовка_NOUN,blank
давность_NOUN,prescription
коэффициент_NOUN,coefficient
безвредный_ADJ,harmless
нарушитель_NOUN,intruder
поля_NOUN,fields
радостно_ADV,joyfully
перевал_NOUN,pass
сбор_NOUN,collection
превращать_VERB,transform
собачка_NOUN,dog
психологически_ADV,psychologically
гастроль_NOUN,tour
желательно_ADV,desirable
судить_VERB,judge
наступательный_ADJ,offensive
табуретка_NOUN,stool
зеркало_NOUN,mirror
богослов_NOUN,theologian
изволить_VERB,please
азиатский_ADJ,Asiatic
посмеиваться_VERB,chuckle
ловля_NOUN,catching
бледно_ADV,pale
аудитория_NOUN,audience
пена_NOUN,foam
завтрашний_ADJ,tomorrow
авторитет_NOUN,authority
приспособлять_VERB,adapt
спальный_ADJ,sleeping
присутствие_NOUN,presence
шок_NOUN,shock
фыркать_VERB,snort
февральский_ADJ,february
ось_NOUN,axis
ворота_NOUN,Gates
свежий_ADJ,fresh
несносный_ADJ,intolerable
крутить_VERB,twist
застой_NOUN,stagnation
отдельность_NOUN,separateness
удостоверение_NOUN,certificate
субъект_NOUN,subject
семьдесят_NUM,seventy
зрительный_ADJ,visual
белье_NOUN,linen
привал_NOUN,halt
дарья_NOUN,Darya
употреблять_VERB,use
вселенная_NOUN,Universe
кормовой_ADJ,stern
бритва_NOUN,razor
татарин_NOUN,Tatar
учет_NOUN,accounting
танец_NOUN,dance
ядерный_ADJ,nuclear
компенсировать_VERB,compensate
шайка_NOUN,gang
переполненный_ADJ,crowded
фотограф_NOUN,photographer
примесь_NOUN,admixture
слышно_ADV,audible
возрождение_NOUN,revival
висячий_ADJ,hanging
дворовый_ADJ,yard
брачный_ADJ,marriage
погружаться_VERB,dive
засмеяться_VERB,laugh
заведомо_ADV,knowingly
подразумеваться_VERB,mean
гипотеза_NOUN,hypothesis
мартын_NOUN,martin
издеваться_VERB,scoff
норматив_NOUN,standard
паперть_NOUN,porch
мартынов_NOUN,Martynov
семинария_NOUN,seminary
переговоры_NOUN,negotiation
зарабатывать_VERB,earn
светский_ADJ,secular
неподходящий_ADJ,unsuitable
диктатор_NOUN,dictator
масштаб_NOUN,scale
пивной_ADJ,beer
обнаженный_ADJ,naked
разнообразие_NOUN,diversity
удивленный_ADJ,surprised
грабитель_NOUN,robber
деликатность_NOUN,delicacy
танька_NOUN,tanka
обман_NOUN,deception
красавец_NOUN,handsome
беседка_NOUN,alcove
образовательный_ADJ,educational
воробьев_NOUN,sparrows
хана_ADV,khan
головка_NOUN,head
участие_NOUN,participation
подержать_VERB,hold
замечание_NOUN,comment
присоединение_NOUN,accession
агитатор_NOUN,agitator
благословлять_VERB,bless
физика_NOUN,physics
парадокс_NOUN,paradox
мыло_NOUN,soap
ишь_PART,see
довольствоваться_VERB,content
протяженность_NOUN,extent
вуз_NOUN,university
баронесса_NOUN,baroness
подозрение_NOUN,suspicion
пролетарий_NOUN,proletarian
токио_NOUN,tokyo
пришествие_NOUN,coming
задница_NOUN,ass
планета_NOUN,planet
откладываться_VERB,postpone
ладан_NOUN,incense
скит_NOUN,hermitage
достоверный_ADJ,reliable
пиджак_NOUN,Blazer
прибывать_VERB,arrive
запрыгать_VERB,jump
взволновать_VERB,excite
крепостной_ADJ,serf
похвальный_ADJ,commendable
ослабнуть_VERB,weaken
ильюшин_NOUN,Ilyushin
монстр_NOUN,monster
тетя_NOUN,aunt
скандальный_ADJ,scandalous
наивно_ADV,naively
шаркать_VERB,shuffle
уменьшение_NOUN,decrease
царский_ADJ,royal
деревня_NOUN,village
предположение_NOUN,assumption
пианист_NOUN,pianist
пронзительно_ADV,piercingly
беспощадный_ADJ,merciless
томительный_ADJ,weary
капитан_NOUN,captain
конверт_NOUN,envelope
клык_NOUN,fang
карьера_NOUN,career
партер_NOUN,parterre
воспитательный_ADJ,educational
намного_ADV,much
берет_NOUN,beret
выказывать_VERB,show
достижение_NOUN,achievement
катиться_VERB,roll
уверенно_ADV,confidently
подслушивать_VERB,eavesdrop
семейство_NOUN,family
защитник_NOUN,defender
величественный_ADJ,majestic
павлов_NOUN,Pavlov
умирать_VERB,die
распря_NOUN,strife
недостаточный_ADJ,inadequate
федоров_NOUN,Fedorov
ненавидеть_VERB,hate
кнут_NOUN,whip
рязань_NOUN,Ryazan
половинка_NOUN,half
кофе_NOUN,coffee
гетман_NOUN,hetman
поджимать_VERB,squeeze
развлекать_VERB,entertain
неинтересный_ADJ,uninteresting
уверять_VERB,assure
прыгать_VERB,jump
духовный_ADJ,spiritual
амурский_ADJ,amur
защищаться_VERB,defend
лететь_VERB,fly
утро_NOUN,morning
стих_NOUN,poem
пушкин_NOUN,Pushkin
незаурядный_ADJ,extraordinary
чистка_NOUN,cleaning
будущее_NOUN,future
угрожающе_ADV,menacingly
охлаждать_VERB,cool
дробь_NOUN,fraction
эсер_NOUN,SR
ослабевать_VERB,weaken
агрессивный_ADJ,aggressive
колос_NOUN,ear
пояс_NOUN,belt
приятельница_NOUN,friend
фактический_ADJ,actual
кончаться_VERB,finish
поверка_NOUN,verification
согласовывать_VERB,reconcile
оценка_NOUN,grade
княгиня_NOUN,princess
запирать_VERB,lock
дрозд_NOUN,thrush
пользователь_NOUN,user
тиран_NOUN,tyrant
наклонять_VERB,cant
догмат_NOUN,dogma
меньшой_ADJ,lesser
здороваться_VERB,greet
незыблемый_ADJ,unshakable
перила_NOUN,railings
ванная_NOUN,bathroom
страх_NOUN,fear
митинг_NOUN,rally
лягушка_NOUN,frog
тюрьма_NOUN,prison
эра_NOUN,era
данте_NOUN,dante
выгода_NOUN,benefit
град_NOUN,hail
переезд_NOUN,relocation
безымянный_ADJ,nameless
внимательный_ADJ,attentive
нырнуть_VERB,dive
головка_NOUN,head
обломок_NOUN,chip
учредительный_ADJ,constituent
проситься_VERB,ask
тоталитарный_ADJ,totalitarian
грива_NOUN,mane
враг_NOUN,enemy
дарья_NOUN,Darya
наружу_ADV,outward
прения_NOUN,debate
императрица_NOUN,empress
обрушиваться_VERB,collapse
сходиться_VERB,converge
ракета_NOUN,rocket
пересекать_VERB,cross
преданный_ADJ,devotee
правовой_ADJ,legal
невозможный_ADJ,impossible
лекарь_NOUN,healer
областной_ADJ,regional
выражаться_VERB,express
хранить_VERB,keep
иракский_ADJ,Iraqi
велеть_VERB,order
воронежский_ADJ,Voronezh
благосклонно_ADV,benevolently
динамический_ADJ,dynamic
заговорщик_NOUN,conspirator
несмотря_ADV,despite
мраморный_ADJ,marble
меньшой_ADJ,lesser
нестерпимый_ADJ,intolerable
изогнутый_ADJ,curved
гнет_NOUN,oppression
обследовать_VERB,examine
нелли_NOUN,Nellie
тыс_NOUN,thous
привычный_ADJ,habitual
заражение_NOUN,infection
малиновый_ADJ,crimson
покровительство_NOUN,patronage
праздность_NOUN,idleness
столица_NOUN,capital
французский_ADJ,French
извинять_VERB,excuse
легальный_ADJ,legal
джентльмен_NOUN,gentleman
беспечный_ADJ,careless
поляков_NOUN,Poles
владение_NOUN,possession
поддакивать_VERB,assent
глиняный_ADJ,clay
очевидный_ADJ,evident
душить_VERB,choke
последователь_NOUN,follower
обреченный_ADJ,doomed
неосторожность_NOUN,carelessness
подчиняться_VERB,obey
обогащение_NOUN,enrichment
утомлять_VERB,tire
шевелиться_VERB,stir
шумный_ADJ,noisy
белка_NOUN,squirrel
нева_NOUN,Neva
здоровый_ADJ,healthy
сценический_ADJ,stage
монстр_NOUN,monster
обливаться_VERB,douche
диковинный_ADJ,outlandish
мемуары_NOUN,memoirs
великолепие_NOUN,splendor
имение_NOUN,estate
трудящийся_NOUN,laborer
выздоравливать_VERB,recover
городок_NOUN,town
шепот_NOUN,whisper
поесть_VERB,eat
рак_NOUN,cancer
лазерный_ADJ,laser
радио_NOUN,radio
рудольф_NOUN,Rudolf
ильюшин_NOUN,Ilyushin
направляться_VERB,head
забредать_VERB,wander
искаженный_ADJ,distorted
монарх_NOUN,monarch
забастовка_NOUN,strike
мужицкий_ADJ,peasant
предводитель_NOUN,leader
доброжелательный_ADJ,benevolent
монахиня_NOUN,nun
жан_NOUN,jean
париж_NOUN,Paris
огненный_ADJ,fiery
небольшой_ADJ,small
поинтересоваться_VERB,ask
значит_ADV,means
корка_NOUN,crust
придворный_NOUN,courtier
носовой::платок_NOUN,handkerchief
турция_NOUN,Turkey
равный_ADJ,equal
алгоритм_NOUN,algorithm
молоть_VERB,grind
застилать_VERB,obscure
рвение_NOUN,zeal
сквозной_ADJ,through
инфляция_NOUN,inflation
наркотик_NOUN,drug
экологический_ADJ,ecological
прикладной_ADJ,applied
описывать_VERB,describe
детство_NOUN,childhood
уважаемый_ADJ,Dear
мщение_NOUN,vengeance
расстроенный_ADJ,upset
самогон_NOUN,moonshine
конечность_NOUN,limb
предопределять_VERB,predetermine
камердинер_NOUN,valet
запинаться_VERB,falter
лазить_VERB,climb
голубь_NOUN,pigeon
бешено_ADV,madly
плед_NOUN,plaid
несовершеннолетний_ADJ,minor
торопить_VERB,rush
отличать_VERB,differ
ван_PART,van
адрес_NOUN,address
мыслитель_NOUN,thinker
беззащитный_ADJ,defenseless
толкнуть_VERB,push
героический_ADJ,heroic
немедля_ADV,immediately
носик_NOUN,spout
съездить_VERB,go
кормилица_NOUN,nurse
гарантировать_VERB,guarantee
отзываться_VERB,respond
гостья_NOUN,guest
мужественно_ADV,courageously
прошение_NOUN,petition
желательно_ADV,desirable
торопиться_VERB,hurry
брить_VERB,shave
отравление_NOUN,poisoning
религиозный_ADJ,religious
практически_ADV,practically
купечество_NOUN,merchants
сеять_VERB,sow
общий_ADJ,general
биолог_NOUN,biologist
извиняться_VERB,apologize
мужик_NOUN,man
хотеться_VERB,want
неловкость_NOUN,awkwardness
заяц_NOUN,Hare
лермонтов_NOUN,Lermontov
проводить_VERB,conduct
лопасть_NOUN,blade
довольство_NOUN,contentment
вспышка_NOUN,flash
холостой_ADJ,idle
гуля_NOUN,ghoul
француженка_NOUN,Frenchwoman
кампания_NOUN,campaign
предрассудок_NOUN,prejudice
сегодня_ADV,today
смирение_NOUN,humility
лось_NOUN,Elk
добираться_VERB,get
чеченский_ADJ,Chechen
большой_ADJ,big
развеваться_VERB,flutter
мг_NOUN,mg
передо_ADP,before
преуспевать_VERB,succeed
дворовый_ADJ,yard
уговаривать_VERB,persuade
депо_NOUN,depot
тряпье_NOUN,rags
подвиг_NOUN,feat
скобка_NOUN,bracket
обсуждение_NOUN,discussion
кассир_NOUN,cashier
ничтожество_NOUN,insignificance
усеивать_VERB,dot
водоем_NOUN,water
размах_NOUN,sweep
закупать_VERB,purchase
запечатывать_VERB,seal
низенький_ADJ,short
плакать_VERB,cry
соблюдение_NOUN,observance
крона_NOUN,crown
рейтинг_NOUN,rating
идеолог_NOUN,ideologist
изящество_NOUN,grace
абсурд_NOUN,absurd
сущность_NOUN,essence
вой_NOUN,howl
тишина_NOUN,silence
общество_NOUN,society
больший_ADJ,more
процеживать_VERB,filter
особенность_NOUN,peculiarity
послужить_VERB,serve
сукно_NOUN,cloth
сознаваться_VERB,confess
листва_NOUN,foliage
рыболов_NOUN,angler
совместно_ADV,jointly
упрек_NOUN,reproach
чуять_VERB,smell
напарник_NOUN,partner
единение_NOUN,unity
принцесса_NOUN,Princess
ревель_NOUN,revel
подряд_ADV,contract
методический_ADJ,methodical
директор_NOUN,director
здорово_ADV,great
стон_NOUN,moan
уязвлять_VERB,bite
деталь_NOUN,detail
мотаться_VERB,dangle
певучий_ADJ,melodious
лабиринт_NOUN,maze
ссылка_NOUN,link
альфа_NOUN,alpha
мелькнуть_VERB,flicker
декабрь_NOUN,December
фыркнуть_VERB,snort
самолюбие_NOUN,pride
съедать_VERB,eat
романтический_ADJ,romantic
смотритель_NOUN,caretaker
магомет_NOUN,Mahomet
засверкать_VERB,sparkle
шаткий_ADJ,shaky
механизм_NOUN,mechanism
карточка_NOUN,card
утрачивать_VERB,lose
сердце_NOUN,heart
исступленный_ADJ,frenzied
милиция_NOUN,militia
цензура_NOUN,censorship
нормативный_ADJ,normative
уровень_NOUN,level
галка_NOUN,jackdaw
инна_NOUN,inna
заметный_ADJ,perceptible
александрийский_ADJ,Alexandrian
мечтать_VERB,dream
потревожить_VERB,disturb
именитый_ADJ,eminent
повреждение_NOUN,damage
конституция_NOUN,constitution
шапочка_NOUN,cap
духота_NOUN,stuffiness
волокно_NOUN,fiber
дерзать_VERB,dare
повертывать_VERB,turn
пелена_NOUN,shroud
трибунал_NOUN,tribunal
помышлять_VERB,ponder
наблюдать_VERB,observe
грызть_VERB,gnaw
кануть_VERB,sink
предаваться_VERB,indulge
неловкость_NOUN,awkwardness
пожитки_NOUN,belongings
приютить_VERB,shelter
хорошенький_ADJ,pretty
воронеж_NOUN,Voronezh
скотина_NOUN,beast
вдохновенный_ADJ,inspired
золотой_ADJ,gold
эскиз_NOUN,sketch
духота_NOUN,stuffiness
кинжал_NOUN,dagger
эмоция_NOUN,emotion
плакать_VERB,cry
гостья_NOUN,guest
кошмар_NOUN,nightmare
восемьдесят_NUM,eighty
граничить_VERB,border
прирожденный_ADJ,inborn
соседка_NOUN,neighbor
свидетель_NOUN,witness
суд_NOUN,court
кашель_NOUN,cough
интимный_ADJ,intimate
бесценный_ADJ,priceless
горох_NOUN,peas
скандал_NOUN,scandal
зад_NOUN,backside
закричать_VERB,scream
рейтинг_NOUN,rating
нужный_ADJ,needed
утерять_VERB,lose
разгар_NOUN,high
чешский_ADJ,Czech
гл_NOUN,ch
пианино_NOUN,piano
жданов_NOUN,Zhdanov
кожа_NOUN,leather
сокращать_VERB,cut
гонять_VERB,drive
благоразумие_NOUN,prudence
бюрократия_NOUN,bureaucracy
мина_NOUN,mine
актив_NOUN,assets
амнистия_NOUN,amnesty
сосна_NOUN,Pine
сеня_NOUN,Senya
ива_NOUN,willow
защита_NOUN,protection
трубопровод_NOUN,pipeline
кивок_NOUN,nod
погибель_NOUN,doom
усыпать_VERB,strew
одинаково_ADV,equally
баба_NOUN,woman
неужто_PART,really
творчество_NOUN,creation
грязный_ADJ,filthy
умирающий_ADJ,dying
ди_NOUN,di
душно_ADV,stuffy
перо_NOUN,feather
карла_NOUN,carla
пороховой_ADJ,gunpowder
русский_ADJ,Russian
тихо_ADV,quiet
заливаться_VERB,flood
стратегия_NOUN,strategy
воинский_ADJ,military
ирак_NOUN,Iraq
прослеживать_VERB,trace
украшение_NOUN,decoration
пересылать_VERB,forward
тезис_NOUN,thesis
оцепенение_NOUN,numbness
готический_ADJ,Gothic
тотальный_ADJ,total
расстройство_NOUN,disorder
уполномоченный_NOUN,authorized
несправедливость_NOUN,injustice
перестрелка_NOUN,skirmish
комедия_NOUN,comedy
самобытный_ADJ,original
телевизор_NOUN,television
форд_NOUN,ford
дубовый_ADJ,oak
незнакомый_ADJ,unfamiliar
станция_NOUN,station
возобновление_NOUN,renewal
процедура_NOUN,procedure
владыка_NOUN,lord
перелом_NOUN,fracture
редакция_NOUN,edition
ласкать_VERB,caress
черниговский_ADJ,Chernihiv
фасон_NOUN,style
тростник_NOUN,cane
выкапывать_VERB,dig
кубик_NOUN,cube
асфальт_NOUN,asphalt
повелеть_VERB,command
брести_VERB,wander
переделка_NOUN,alteration
развивать_VERB,develop
сопротивление_NOUN,resistance
танцор_NOUN,dancer
тариф_NOUN,rate
мошенник_NOUN,scammer
притязание_NOUN,claim
покурить_VERB,smoke
разговориться_VERB,talk
отливать_VERB,cast
периодический_ADJ,periodic
странно_ADV,strange
упрощенный_ADJ,simplified
мщение_NOUN,vengeance
осада_NOUN,siege
зажигаться_VERB,ignite
чинить_VERB,repair
клевать_VERB,peck
завод_NOUN,plant
тонуть_VERB,drown
трое_NUM,three
понимание_NOUN,understanding
наслаждение_NOUN,pleasure
перестраивать_VERB,rebuild
ширина_NOUN,width
прочитывать_VERB,read
греча_NOUN,buckwheat
принцип_NOUN,principle
равнодушие_NOUN,indifference
опровергать_VERB,refute
чистенький_ADJ,neat
покоряться_VERB,submit
окружной_ADJ,district
королевич_NOUN,prince
выступ_NOUN,ledge
царский_ADJ,royal
даровать_VERB,grant
дмитриев_NOUN,Dmitriev
заливаться_VERB,flood
подружка_NOUN,girlfriend
размышлять_VERB,ponder
прохожий_NOUN,passerby
табуретка_NOUN,stool
потомство_NOUN,offspring
приходский_ADJ,parish
развиваться_VERB,develop
пошутить_VERB,joke
безмерно_ADV,immensely
ссуда_NOUN,loan
персидский_ADJ,Persian
исступление_NOUN,frenzy
срыв_NOUN,breakdown
акционер_NOUN,shareholder
форд_NOUN,ford
нахождение_NOUN,finding
совещаться_VERB,confer
менделеев_NOUN,Mendeleev
пробежать_VERB,run
снаряд_NOUN,projectile
поколебать_VERB,shake
дивизион_NOUN,division
ландшафт_NOUN,landscape
юбилейный_ADJ,anniversary
объективность_NOUN,objectivity
варшавский_ADJ,Warsaw
презренный_ADJ,despicable
бабка_NOUN,grandma
тряпье_NOUN,rags
смещать_VERB,displace
переезд_NOUN,relocation
хана_ADV,khan
благородно_ADV,nobly
расхаживать_VERB,pace
родовой_ADJ,generic
останавливаться_VERB,stop
надзиратель_NOUN,overseer
адский_ADJ,hellish
приличный_ADJ,decent
видимый_ADJ,visible
след_NOUN,track
валентина_NOUN,valentine
смотритель_NOUN,caretaker
подбор_NOUN,selection
поставлять_VERB,supply
убедительный_ADJ,convincing
энциклопедия_NOUN,encyclopedia
съездить_VERB,go
кучер_NOUN,coachman
черед_NOUN,turn
подчиненный_ADJ,subordinate
энтузиаст_NOUN,enthusiast
завершать_VERB,complete
усатый_ADJ,whiskered
александрийский_ADJ,Alexandrian
алкоголик_NOUN,alcoholic
роскошь_NOUN,luxury
главное_NOUN,main
облигация_NOUN,bond
жесткий_ADJ,hard
соперник_NOUN,rival
восклицать_VERB,exclaim
недоумение_NOUN,bewilderment
трансформация_NOUN,transformation
поднос_NOUN,tray
придумывать_VERB,invent
поспешить_VERB,haste
валиться_VERB,fall
прихватывать_VERB,grab
усугублять_VERB,aggravate
изображение_NOUN,image
воронка_NOUN,funnel
смелость_NOUN,courage
алгоритм_NOUN,algorithm
плотский_ADJ,carnal
инвестиция_NOUN,investment
содержать_VERB,contain
прогресс_NOUN,progress
развивающийся_ADJ,developing
валентина_NOUN,valentine
горло_NOUN,throat
кум_NOUN,godfather
обитать_VERB,dwell
пушкинский_ADJ,Pushkin
анализировать_VERB,analyze
расстраивать_VERB,upset
склон_NOUN,slope
то-то_PART,something
отвыкать_VERB,wean
шпага_NOUN,sword
раскрывать_VERB,disclose
дань_NOUN,tribute
папочка_NOUN,Daddy
повестка_NOUN,agenda
поломать_VERB,break
акция_NOUN,stock
сербский_ADJ,Serbian
клеточный_ADJ,cellular
униматься_VERB,subdue
олимпиада_NOUN,olympiad
германский_ADJ,German
идеализм_NOUN,idealism
пролеживать_VERB,lie
образовывать_VERB,form
река_NOUN,river
воззвание_NOUN,appeal
борис_NOUN,boris
исходный_ADJ,original
осмотр_NOUN,inspection
профилактика_NOUN,prevention
характерный_ADJ,characteristic
страна_NOUN,country
казна_NOUN,coffers
яростно_ADV,fiercely
выучиваться_VERB,learn
изо_ADP,iso
оборот_NOUN,turnover
радостный_ADJ,glad
посему_ADV,therefore
аккуратный_ADJ,careful
внимательно_ADV,attentively
шашка_NOUN,checker
полезный_ADJ,useful
прикладывать_VERB,apply
грешить_VERB,sin
развлекать_VERB,entertain
ущерб_NOUN,damage
бак_NOUN,tank
новиков_NOUN,Novikov
арсенал_NOUN,arsenal
береговой_ADJ,coastal
радостно_ADV,joyfully
едва_ADV,barely
рис_NOUN,rice
увы_INTJ,Alas
створка_NOUN,sash
изобилие_NOUN,abundance
увидеть_VERB,see
ничтожество_NOUN,insignificance
вроде_PART,like
достоверность_NOUN,credibility
казачество_NOUN,Cossacks
покрывало_NOUN,cover
рассекать_VERB,dissect
услыхать_VERB,hear
авиационный_ADJ,aviation
подземелье_NOUN,dungeon
крепкий_ADJ,strong
отдаление_NOUN,distancing
раздумывать_VERB,ponder
бесплатный_ADJ,free
сиреневый_ADJ,lilac
джип_NOUN,jeep
кама_NOUN,Kama
слух_NOUN,hearing
экономить_VERB,save
мять_VERB,crumple
хлопок_NOUN,cotton
зашагать_VERB,walk
гигиена_NOUN,hygiene
всплеск_NOUN,splash
кашлянуть_VERB,cough
охотник_NOUN,hunter
нехороший_ADJ,bad
ссора_NOUN,argument
перевести_VERB,translate
мятежник_NOUN,rebel
мыть_VERB,wash
радиус_NOUN,radius
перелет_NOUN,flight
взвод_NOUN,platoon
концентрация_NOUN,concentration
опора_NOUN,support
иван_NOUN,ivan
отделять_VERB,separate
мигать_VERB,blink
касьянов_NOUN,Kasyanov
застенчивый_ADJ,shy
притом_CCONJ,moreover
кофейный_ADJ,coffee
сопоставление_NOUN,juxtaposition
опытность_NOUN,proficiency
возмущаться_VERB,resent
стужа_NOUN,chill
тронуть_VERB,touch
распад_NOUN,decay
фюрер_NOUN,Fuhrer
ученица_NOUN,pupil
настораживать_VERB,alert
насаждение_NOUN,planting
культурно_ADV,culturally
доверять_VERB,trust
автобус_NOUN,bus
скрипка_NOUN,violin
экстремальный_ADJ,extreme
тьма_NOUN,darkness
закономерность_NOUN,regularity
украдкой_ADV,furtively
прошедшее_NOUN,past
встречаться_VERB,meet
запускать_VERB,launch
сундук_NOUN,box
